Source;Target
BKO;DKR
COO;LFW
DKR;BKO
BDS;ZRH
BOD;ZRH
BRS;ZRH
GVA;LPA
LPA;ZRH
RMF;ZRH
TFS;GVA
ZRH;BDS
ZRH;BOD
ZRH;BRS
ZRH;LPA
ZRH;RMF
KOK;POR
MHQ;TKU
POR;KOK
TKU;MHQ
ADQ;AOS
ADQ;KKB
ADQ;KLN
ADQ;KOZ
KLN;KYK
DEC;ORD
ORD;DEC
CGA;HYL
CGA;KTN
HYL;CGA
HYL;KTN
KTN;CGA
KTN;HYL
KTN;MTM
MTM;KTN
BCN;BJL
BJL;BCN
BJL;DKR
BJL;FNA
CKY;OXB
DKR;BJL
DKR;DLA
DKR;FNA
DKR;OXB
DLA;DKR
FNA;BJL
FNA;DKR
FNA;LGW
FNA;ROB
LGW;FNA
OXB;CKY
OXB;DKR
ROB;FNA
AKV;YIK
AKV;YPX
XGR;YVP
YGL;YGW
YGL;YPX
YGL;YUL
YGW;YGL
YGW;YPH
YGW;YSK
YGW;YUD
YGW;YUL
YGW;YUY
YIK;AKV
YIK;YZG
YKL;YQB
YKL;YVP
YKL;YWK
YKL;YZV
YPH;YPX
YPH;YUD
YPH;YVP
YPJ;YTQ
YPJ;YVP
YPX;AKV
YPX;YGL
YPX;YPH
YPX;YVP
YQB;YKL
YQB;YUL
YQC;YWB
YSK;YGW
YSK;YUD
YTQ;YPJ
YTQ;YVP
YUD;YGW
YUD;YPH
YUD;YSK
YUL;YGL
YUL;YGW
YUL;YQB
YUL;YUY
YUY;YGW
YUY;YUL
YVP;XGR
YVP;YGW
YVP;YKL
YVP;YPH
YVP;YPJ
YVP;YPX
YVP;YTQ
YWB;YQC
YWB;YZG
YWK;YKL
YWK;YZV
YZG;YIK
YZG;YWB
YZV;YKL
YZV;YWK
JIB;DXB
JIB;JED
JIB;MGQ
MGQ;NBO
NBO;MGQ
ACH;EBA
DRS;ZRH
DUS;FDH
EBA;ACH
EBA;FDH
EBA;MUC
EBA;ZRH
FDH;DUS
FDH;EBA
FDH;HAM
FDH;OLB
FDH;TXL
FMM;NAP
GRZ;ZRH
HAM;FDH
MUC;EBA
NAP;FMM
OLB;FDH
SZG;ZRH
TXL;FDH
ZRH;DRS
ZRH;EBA
ZRH;GRZ
ZRH;SZG
BIM;FLL
ELH;FLL
ELH;PBI
EYW;FLL
FLL;BIM
FLL;ELH
FLL;EYW
FLL;FPO
FLL;GGT
FLL;GHB
FLL;MCO
FLL;MHH
FLL;TCB
FPO;FLL
GGT;FLL
GGT;GHB
GHB;FLL
GNV;MCO
JAX;MHH
MCN;MCO
MCO;FLL
MCO;GNV
MCO;MCN
MCO;MHH
MCO;PNS
MHH;FLL
MHH;JAX
MHH;MCO
MHH;PBI
PBI;ELH
PBI;MHH
PNS;MCO
TCB;FLL
AMS;NDR
AMS;TNG
BCN;CMN
BCN;NDR
BCN;TNG
BGY;CMN
BLQ;CMN
BRU;CMN
BRU;NDR
BRU;TNG
CGN;NDR
CMN;BCN
CMN;BGY
CMN;BLQ
CMN;BRU
CMN;CUF
CMN;LGW
CMN;LYS
CMN;MPL
CMN;SAW
CMN;TLS
CMN;TSF
CUF;CMN
FEZ;MPL
LGW;CMN
LGW;TNG
LYS;CMN
MPL;CMN
MPL;FEZ
MPL;NDR
NDR;AMS
NDR;BCN
NDR;BRU
NDR;CGN
NDR;MPL
NDR;PMI
PMI;NDR
SAW;CMN
TLS;CMN
TNG;AMS
TNG;BCN
TNG;BRU
TNG;LGW
TSF;CMN
LAS;LAX
LAX;LAS
MCG;NIB
NIB;MCG
TLJ;MCG
YGZ;YRB
YRB;YGZ
MIA;PUJ
PUJ;MIA
YEG;YXY
YLW;YVR
YLW;YXY
YOW;YZF
YVR;YLW
YVR;YXY
YXY;YLW
YXY;YVR
YXY;YYC
YXY;YZF
YYC;YEG
YZF;YOW
YZF;YXY
ACA;MEX
ACA;TLC
AGU;MEX
CEN;MEX
CJS;MEX
CME;MEX
CPE;MEX
CTM;MEX
CUL;MEX
CUN;MEX
CUN;MTY
CUN;TLC
CUU;MEX
CZM;MEX
GDL;MEX
GDL;MTY
GDL;SJD
GDL;TIJ
GUA;MEX
HAV;MEX
HMO;MEX
HUX;MEX
JFK;MEX
LAP;MEX
LAS;MTY
LAS;TLC
MEX;ACA
MEX;AGU
MEX;CEN
MEX;CJS
MEX;CME
MEX;CPE
MEX;CTM
MEX;CUL
MEX;CUN
MEX;CUU
MEX;CZM
MEX;GDL
MEX;GUA
MEX;HAV
MEX;HMO
MEX;HUX
MEX;JFK
MEX;LAP
MEX;MIA
MEX;MID
MEX;MTT
MEX;MTY
MEX;MZT
MEX;OAX
MEX;PQM
MEX;PVR
MEX;REX
MEX;SJD
MEX;SJO
MEX;TAM
MEX;TGZ
MEX;TIJ
MEX;TRC
MEX;VER
MEX;VSA
MEX;ZCL
MEX;ZIH
MEX;ZLO
MIA;MEX
MID;MEX
MTT;MEX
MTY;CUN
MTY;GDL
MTY;LAS
MTY;MEX
MTY;TLC
MZT;MEX
OAX;MEX
PQM;MEX
PVR;MEX
PVR;TLC
REX;MEX
SJD;GDL
SJD;MEX
SJD;TLC
SJO;MEX
TAM;MEX
TGZ;MEX
TIJ;GDL
TIJ;MEX
TLC;ACA
TLC;CUN
TLC;LAS
TLC;MTY
TLC;PVR
TLC;SJD
TLC;ZIH
TRC;MEX
VER;MEX
VSA;MEX
ZCL;MEX
ZIH;MEX
ZIH;TLC
ZLO;MEX
DXB;KBL
HEA;KBL
KBL;DXB
KBL;HEA
KBL;MZR
MZR;KBL
AYT;ZRH
BSL;HRG
HRG;BSL
HRG;ZRH
PRN;ZRH
RMF;ZRH
SKP;ZRH
ZRH;AYT
ZRH;HRG
ZRH;PRN
ZRH;RMF
ZRH;SKP
AGP;STR
AGP;TXL
ALG;CGN
AMS;HAM
AOI;DUS
AOI;TXL
ATH;CGN
ATH;STR
AYT;CGN
BCN;CGN
BCN;DUS
BCN;HAJ
BCN;HAM
BCN;STR
BDS;STR
BEG;STR
BGO;HAM
BHX;HAM
BHX;TXL
BIA;CGN
BIA;DUS
BIA;HAM
BIA;STR
BIA;TXL
BIO;DUS
BIO;STR
BLQ;CGN
BLQ;TXL
BRE;STR
BRI;CGN
BRI;DUS
BRI;STR
BRU;STR
BSL;DUS
BUD;CGN
BUD;HAM
