id;latitude;longitude
AAA;-17.3542;-145.4961
AAC;31.0733;33.8358
AAE;36.8222;7.8094
AAL;57.0928;9.8492
AAN;24.2617;55.6092
AAR;56.3;10.619
AAT;47.72;88.15
AAY;16.1917;52.175
ABC;38.948;-1.863
ABD;30.3667;48.2333
ABK;6.734;44.253
ABL;67.1063;-157.8575
ABS;22.3758;31.6117
ABT;20.2961;41.6342
ABZ;57.2019;-2.1978
ACA;16.7571;-99.7538
ACE;28.9455;-13.6052
ACH;47.485;9.5619
ACI;49.7061;-2.2147
ACP;37.7333;46.45
ACU;9.183;-78.017
ACZ;31.0983;61.5439
ADA;36.9825;35.2831
ADB;38.2892;27.155
ADD;8.975;38.7994
ADE;12.8289;45.0297
ADF;37.7308;38.4689
ADJ;31.9727;35.9916
ADK;51.878;-176.646
ADQ;57.75;-152.4939
ADU;38.3267;48.4242
ADX;56.3733;-2.8683
AEB;23.72;106.96
AEH;13.8472;20.8488
AEO;16.7167;-9.6333
AES;62.5625;6.1197
AET;66.5518;-152.6222
AEY;65.6586;-18.0722
AFT;-9.1911;160.9492
AFY;38.7339;30.5953
AFZ;36.1681;57.5953
AGA;30.325;-9.4131
AGB;48.4252;10.9318
AGF;44.1747;0.5906
AGL;-9.333;149.15
AGM;65.6122;-37.6183
AGN;57.5036;-134.5851
AGP;36.675;-4.4992
AGQ;38.602;21.3512
AGU;21.7047;-102.3175
AHB;18.2404;42.6565
AHE;-14.4278;-146.255
AHO;40.6322;8.2894
AHS;15.4722;-84.3522
AHU;35.1806;-3.8317
AIC;7.1;171.2333
AIM;10.2;169.9833
AIN;70.638;-159.9948
AIT;-18.8309;-159.7642
AIU;-19.9678;-158.1192
AJA;41.9239;8.8025
AJF;29.7852;40.0996
AJI;39.6627;43.0232
AJN;-12.1317;44.4303
AJY;16.9622;7.9903
AKB;52.2203;-174.2063
AKF;24.1767;23.315
AKH;35.2026;-81.1498
AKI;60.9029;-161.2306
AKK;56.9387;-154.1826
AKN;58.6768;-156.6492
AKP;68.1336;-151.7433
AKS;-8.6978;160.6808
AKV;60.8186;-78.1486
ALC;38.2822;-0.5582
ALF;69.9761;23.3717
ALG;36.6944;3.2169
ALL;44.0467;8.1264
ALP;36.1797;37.2261
ALR;-45.2117;169.3733
ALY;31.1817;29.9464
ALZ;56.8958;-154.2458
AMH;6.0394;37.5905
AMM;31.7226;35.9932
AMS;52.3081;4.7642
AMY;-17.683;45.617
AMZ;-37.0297;174.9733
ANC;61.1744;-149.9964
ANE;47.5603;-0.3122
ANG;45.7294;0.2192
ANI;61.5816;-159.543
ANJ;46.4792;-84.3684
ANK;39.9575;32.6744
ANM;-14.9994;50.3202
ANN;55.0425;-131.5722
ANO;-16.1833;39.9333
ANR;51.1894;4.4603
ANV;62.6467;-160.1907
ANX;69.2925;16.1442
AOC;50.9818;12.5064
AOE;39.8117;30.5286
AOI;43.6167;13.3603
AOK;35.4167;27.15
AOQ;72.8869;-55.5961
AOS;57.4667;-153.8333
AOT;45.7386;7.3681
APK;-15.5736;-146.4153
APL;-15.1;39.2833
APW;-13.8297;-171.9972
AQI;28.3352;46.1249
AQJ;29.6116;35.0181
ARC;68.1147;-145.5794
ARK;-3.3678;36.6333
ARW;46.1765;21.262
ASA;13.0667;42.6333
ASD;24.6983;-77.7956
