id;Label;Continent;Country
AAA;Anaa;OC;PF
AAC;EL-ARISH;AS;EG
AAE;Annaba;AF;DZ
AAL;AalborgAirport;EU;DK
AAN;AlAin;AS;AE
AAR;AarhusTirstrupAirport;EU;DK
AAT;Altay;AS;CN
AAY;AlGhaydah;AS;YE
ABC;Albacete;EU;ES
ABD;Abadan;AS;IR
ABK;KabriDehar;AF;ET
ABL;Ambler;N_A;US
ABS;AbuSimbel;AF;EG
ABT;AlBaha;AS;SA
ABZ;Aberdeen;EU;GB
ACA;Acapulco;N_A;MX
ACE;Lanzarote;EU;ES
ACH;Altenrhein;EU;CH
ACI;Alderney;EU;GG
ACP;Sahand;AS;IR
ACU;Achutupo;N_A;PA
ACZ;Zabol;AS;IR
ADA;Adana;AS;TR
ADB;IzmirAdnanMenderesApt;AS;TR
ADD;AddisAbaba;AF;ET
ADE;Aden;AS;YE
ADF;Adiyaman;AS;TR
ADJ;AMMANMARKAINTL;AS;JO
ADK;AdakIsland;N_A;US
ADQ;KodiakApt;N_A;US
ADU;Ardabil;AS;IR
ADX;LEUCHARS;EU;GB
AEB;Baise;AS;CN
AEH;ABECHE;AF;TD
AEO;AIOUN-EL-ATROUSS;AF;MR
AES;Alesund;EU;NO
AET;Allakaket;N_A;US
AEY;Akureyri;EU;IS
AFT;Afutara;OC;SB
AFY;AFYON;AS;TR
AFZ;Sabzevar;AS;IR
AGA;Agadir;AF;MA
AGB;MunichAugsburgApt;EU;DE
AGF;Agen;EU;FR
AGL;Wanigela;OC;PG
AGM;Tasiilaq;N_A;GL
AGN;Angoon;N_A;US
AGP;Malaga;EU;ES
AGQ;AGRINION;EU;GR
AGU;Aguascalientes;N_A;MX
AHB;Abha;AS;SA
AHE;Ahe;OC;PF
AHO;Alghero;EU;IT
AHS;Ahu�s;N_A;HN
AHU;AlHoceima;AF;MA
AIC;XXX;OC;MH
AIM;XXX;OC;MH
AIN;Wainwright;N_A;US
AIT;AitutakiIsland;OC;CK
AIU;AtiuIsland;OC;CK
AJA;Ajaccio;EU;FR
AJF;Jouf;AS;SA
AJI;Agri;AS;TR
AJN;Anjouan;AF;KM
AJY;AGADEZ/MANUDAYAK;AF;NE
AKB;Atka;N_A;US
AKF;Kufra;AF;LY
AKH;GASTONIAMUNI;AS;SA
AKI;Akiak;N_A;US
AKK;Akhiok;N_A;US
AKN;KingSalmon;N_A;US
AKP;AnaktuvukPass;N_A;US
AKS;Auki(SB);OC;SB
AKV;Akulivik;N_A;CA
ALC;Alicante;EU;ES
ALF;Alta;EU;NO
ALG;Algiers;AF;DZ
ALL;ALBENGA;EU;IT
ALP;ALEPPOINTL;AS;SY
ALR;ALEXANDRA;OC;NZ
ALY;ALEXANDRIAINTL;AF;EG
ALZ;Alitak;N_A;US
AMH;ArbaMinch;AF;ET
AMM;AmmanQueenAliaInternationalApt;AS;JO
AMS;Amsterdam;EU;NL
AMY;Ambatomainty;AF;MG
AMZ;ARDMORE;OC;NZ
ANC;AnchorageInternationalApt;N_A;US
ANE;ANGERS/MARCE;EU;FR
ANG;Angouleme;EU;FR
ANI;Aniak;N_A;US
ANJ;SAULTSTEMARIEMUNI/SANDERSON;AF;CG
ANK;ANKARA/ETIMESGUT;AS;TR
ANM;Antalaha;AF;MG
ANN;ANNETTEISLAND;N_A;US
ANO;ANGOCHE;AF;MZ
ANR;Antwerp;EU;BE
ANV;Anvik;N_A;US
ANX;Andenes;EU;NO
AOC;ALTENBURG-NOBITZ;EU;DE
AOE;Eskisehir;AS;TR
AOI;Ancona;EU;IT
AOK;Karpathos;EU;GR
AOQ;Aappilattoq;N_A;GL
AOS;Amook;N_A;US
AOT;AOSTA;EU;IT
APK;Apataki;OC;PF
APL;Nampula;AF;MZ
APW;ApiaFaleoloApt;OC;WS
AQI;Qaisumah;AS;SA
AQJ;Aqaba;AS;JO
ARC;ArcticVillage;N_A;US
ARK;Arusha;AF;TZ
ARW;Arad;EU;RO
ASA;ASSAB;AF;ER
ASD;AndrosTown;N_A;BS
ASI;ASCENSIONAUXABWIDEAWAKE;AF;SH
ASM;Asmara;AF;ER
ASO;Asosa;AF;ET
ASR;Kayseri;AS;TR
ASV;Amboseli;AF;KE
ASW;Aswan;AF;EG
ATB;ATBARA;AF;SD
ATC;Arthur'sTown;N_A;BS
ATD;Atoifi;OC;SB
ATH;Athens;EU;GR
ATK;Atqasuk;N_A;US
ATN;Namatanai;OC;PG
ATR;ATAR;AF;MR
ATZ;Asyut;AF;EG
AUF;AUXERRE/BRANCHES;EU;FR
AUH;AbuDhabiInternationalApt;AS;AE
